Venezuela,South America,South America,24170000,57
Falkland Islands,South America,South America,2000,2
Ecuador,South America,South America,12646000,53
French Guiana,South America,South America,181000,12
Suriname,South America,South America,417000,16
Colombia,South America,South America,42321000,63
Uruguay,South America,South America,3337000,24
Bolivia,South America,South America,8329000,43
Argentina,South America,South America,37032000,60
Chile,South America,South America,15211000,54
Paraguay,South America,South America,5496000,37
Guyana,South America,South America,861000,18
Peru,South America,South America,25662000,58
Brazil,South America,South America,170115000,71
Greenland,North America,North America,56000,9
Canada,North America,North America,31147000,59
Bermuda,North America,North America,65000,10
St. Pierre & Miquelon,North America,North America,7000,4
United States,North America,North America,278357000,72
Belize,North America,Central America,241000,13
Mexico,North America,Central America,98881000,69
Honduras,North America,Central America,6485000,39
Panama,North America,Central America,2856000,23
Nicaragua,North America,Central America,5074000,33
Costa Rica,North America,Central America,4023000,29
Guatemala,North America,Central America,11385000,52
El Salvador,North America,Central America,6276000,38
Liechtenstein,Europe,Western Europe,32300,6
Luxembourg,Europe,Western Europe,435700,17
Switzerland,Europe,Western Europe,7160400,40
Austria,Europe,Western Europe,8091800,41
Belgium,Europe,Western Europe,10239000,48
France,Europe,Western Europe,59225700,66
Monaco,Europe,Western Europe,34000,7
Netherlands,Europe,Western Europe,15864000,55
Germany,Europe,Western Europe,82164700,68
Sweden,Europe,Nordic Countries,8861400,44
Faroe Islands,Europe,Nordic Countries,43000,8
Svalbard & Jan Mayen,Europe,Nordic Countries,3200,3
Iceland,Europe,Nordic Countries,279000,14
Norway,Europe,Nordic Countries,4478500,32
Finland,Europe,Nordic Countries,5171300,34
Denmark,Europe,Nordic Countries,5330000,35
Ireland,Europe,British Islands,3775100,27
United Kingdom,Europe,British Islands,59623400,67
Albania,Europe,Southern Europe,3401200,25
Andorra,Europe,Southern Europe,78000,11
Greece,Europe,Southern Europe,10545700,50
Vatican City,Europe,Southern Europe,1000,1
Yugoslavia,Europe,Southern Europe,10640000,51
Portugal,Europe,Southern Europe,9997600,45
Malta,Europe,Southern Europe,380200,15
Italy,Europe,Southern Europe,57680000,65
Slovenia,Europe,Southern Europe,1987800,20
Macedonia,Europe,Southern Europe,2024000,21
Croatia,Europe,Southern Europe,4473000,31
San Marino,Europe,Southern Europe,27000,5
Bosnia & Herzegovina,Europe,Southern Europe,3972000,28
Spain,Europe,Southern Europe,39441700,62
Estonia,Europe,Baltic Countries,1439200,19
Latvia,Europe,Baltic Countries,2424200,22
Lithuania,Europe,Baltic Countries,3698500,26
Moldova,Europe,Eastern Europe,4380000,30
Slovakia,Europe,Eastern Europe,5398700,36
Russian Federation,Europe,Eastern Europe,146934000,70
Bulgaria,Europe,Eastern Europe,8190900,42
Poland,Europe,Eastern Europe,38653600,61
Hungary,Europe,Eastern Europe,10043200,46
Belarus,Europe,Eastern Europe,10236000,47
Czech Republic,Europe,Eastern Europe,10278100,49
Romania,Europe,Eastern Europe,22455500,56
Ukraine,Europe,Eastern Europe,50456000,64